task,metric,level,prune_ratio,primary_score,baseline_score,score_drop,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,eval_loss,eval_matthews_correlation,eval_accuracy,eval_f1
cola,KL-R,head,0.1,0.0,0.5288802917060816,0.5288802917060816,11.0407,94.469,1.54,2.0,,,,
cola,KL-R,head,0.3,0.0,0.5288802917060816,0.5288802917060816,11.0393,94.481,1.54,2.0,,,,
cola,KL-R,head,0.5,0.0,0.5288802917060816,0.5288802917060816,11.0377,94.494,1.54,2.0,,,,
cola,KL-R,block,0.1,0.5652516382961122,0.5288802917060816,-0.03637134659003061,10.0096,104.2,1.698,2.0,0.5530944466590881,0.5652516382961122,,
cola,KL-R,block,0.3,0.48291834934449523,0.5288802917060816,0.045961942361586405,8.2113,127.02,2.07,2.0,0.5782990455627441,0.48291834934449523,,
cola,KL-R,block,0.5,0.2613711527128651,0.5288802917060816,0.26750913899321654,5.5202,188.942,3.08,2.0,0.6152954697608948,0.2613711527128651,,
mrpc,KL-R,head,0.1,0.0,0.8843537414965986,0.8843537414965986,14.5022,28.134,0.483,2.0,,,,
mrpc,KL-R,head,0.3,0.0,0.8843537414965986,0.8843537414965986,14.4966,28.145,0.483,2.0,,,,
mrpc,KL-R,head,0.5,0.0,0.8843537414965986,0.8843537414965986,14.503,28.132,0.483,2.0,,,,
mrpc,KL-R,block,0.1,0.8970331588132635,0.8843537414965986,-0.012679417316664887,13.0065,31.369,0.538,2.0,0.3983234465122223,,0.8553921568627451,0.8970331588132635
mrpc,KL-R,block,0.3,0.8824531516183987,0.8843537414965986,0.0019005898781999653,10.6619,38.267,0.657,2.0,0.4182873070240021,,0.8308823529411765,0.8824531516183987
mrpc,KL-R,block,0.5,0.8612903225806452,0.8843537414965986,0.023063418915953426,7.1398,57.144,0.98,2.0,0.4834243953227997,,0.7892156862745098,0.8612903225806452
