task,metric,level,prune_ratio,primary_score,baseline_score,score_drop,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,eval_loss,eval_matthews_correlation,eval_accuracy,eval_f1
cola,HIS,head,0.1,0.0,0.5288802917060816,0.5288802917060816,10.9589,95.174,1.551,2.0,,,,
cola,HIS,head,0.3,0.0,0.5288802917060816,0.5288802917060816,10.9526,95.229,1.552,2.0,,,,
cola,HIS,head,0.5,0.0,0.5288802917060816,0.5288802917060816,10.9678,95.096,1.55,2.0,,,,
cola,HIS,block,0.1,0.5452100835559165,0.5288802917060816,-0.01632979184983485,9.9481,104.844,1.709,2.0,0.5355799794197083,0.5452100835559165,,
cola,HIS,block,0.3,0.5019330701750789,0.5288802917060816,0.026947221531002707,8.1555,127.889,2.084,2.0,0.5554420948028564,0.5019330701750789,,
cola,HIS,block,0.5,0.44963336671994786,0.5288802917060816,0.07924692498613378,5.475,190.502,3.105,2.0,0.5506362318992615,0.44963336671994786,,
mrpc,HIS,head,0.1,0.0,0.8843537414965986,0.8843537414965986,14.5962,27.953,0.48,2.0,,,,
mrpc,HIS,head,0.3,0.0,0.8843537414965986,0.8843537414965986,14.9182,27.349,0.469,2.0,,,,
mrpc,HIS,head,0.5,0.0,0.8843537414965986,0.8843537414965986,805.6473,0.506,0.009,2.0,,,,
mrpc,HIS,block,0.1,0.9027777777777778,0.8843537414965986,-0.018424036281179168,13.0587,31.244,0.536,2.0,0.44362321496009827,,0.8627450980392157,0.9027777777777778
mrpc,HIS,block,0.3,0.8983050847457628,0.8843537414965986,-0.013951343249164139,10.5804,38.562,0.662,2.0,0.4534539580345154,,0.8529411764705882,0.8983050847457628
mrpc,HIS,block,0.5,0.8452012383900929,0.8843537414965986,0.039152503106505754,7.0799,57.628,0.989,2.0,0.5618659853935242,,0.7549019607843137,0.8452012383900929
