task,metric,level,prune_ratio,primary_score,baseline_score,score_drop,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,eval_loss,eval_matthews_correlation,eval_accuracy,eval_f1
cola,HIS,head,0.1,0.0,0.5288802917060816,0.5288802917060816,10.9589,95.174,1.551,2.0,,,,
cola,HIS,head,0.3,0.0,0.5288802917060816,0.5288802917060816,10.9526,95.229,1.552,2.0,,,,
cola,HIS,head,0.5,0.0,0.5288802917060816,0.5288802917060816,10.9678,95.096,1.55,2.0,,,,
cola,HIS,block,0.1,0.5452100835559165,0.5288802917060816,-0.01632979184983485,9.9481,104.844,1.709,2.0,0.5355799794197083,0.5452100835559165,,
cola,HIS,block,0.3,0.5019330701750789,0.5288802917060816,0.026947221531002707,8.1555,127.889,2.084,2.0,0.5554420948028564,0.5019330701750789,,
cola,HIS,block,0.5,0.44963336671994786,0.5288802917060816,0.07924692498613378,5.475,190.502,3.105,2.0,0.5506362318992615,0.44963336671994786,,
mrpc,HIS,head,0.1,0.0,0.8843537414965986,0.8843537414965986,14.5962,27.953,0.48,2.0,,,,
mrpc,HIS,head,0.3,0.0,0.8843537414965986,0.8843537414965986,14.9182,27.349,0.469,2.0,,,,
mrpc,HIS,head,0.5,0.0,0.8843537414965986,0.8843537414965986,805.6473,0.506,0.009,2.0,,,,
mrpc,HIS,block,0.1,0.9027777777777778,0.8843537414965986,-0.018424036281179168,13.0587,31.244,0.536,2.0,0.44362321496009827,,0.8627450980392157,0.9027777777777778
mrpc,HIS,block,0.3,0.8983050847457628,0.8843537414965986,-0.013951343249164139,10.5804,38.562,0.662,2.0,0.4534539580345154,,0.8529411764705882,0.8983050847457628
mrpc,HIS,block,0.5,0.8452012383900929,0.8843537414965986,0.039152503106505754,7.0799,57.628,0.989,2.0,0.5618659853935242,,0.7549019607843137,0.8452012383900929
cola,AE,head,0.1,0.0,0.5288802917060816,0.5288802917060816,10.9548,95.21,1.552,2.0,,,,
cola,AE,head,0.3,0.0,0.5288802917060816,0.5288802917060816,10.9473,95.274,1.553,2.0,,,,
cola,AE,head,0.5,0.0,0.5288802917060816,0.5288802917060816,10.9558,95.2,1.552,2.0,,,,
cola,AE,block,0.1,0.5652516382961122,0.5288802917060816,-0.0363713465900306,9.9464,104.862,1.709,2.0,0.5530944466590881,0.5652516382961122,,
cola,AE,block,0.3,0.5523181756655187,0.5288802917060816,-0.023437883959437,8.1451,128.052,2.087,2.0,0.5474252104759216,0.5523181756655187,,
cola,AE,block,0.5,0.4272020348911456,0.5288802917060816,0.1016782568149359,5.4744,190.522,3.105,2.0,0.5438018441200256,0.4272020348911456,,
mrpc,AE,head,0.1,0.0,0.8843537414965986,0.8843537414965986,14.4996,28.139,0.483,2.0,,,,
mrpc,AE,head,0.3,0.0,0.8843537414965986,0.8843537414965986,14.4999,28.138,0.483,2.0,,,,
mrpc,AE,head,0.5,0.0,0.8843537414965986,0.8843537414965986,14.5432,28.054,0.481,2.0,,,,
mrpc,AE,block,0.1,0.8877374784110535,0.8843537414965986,-0.0033837369144549,13.0051,31.372,0.538,2.0,0.4178366661071777,,0.8406862745098039,0.8877374784110535
mrpc,AE,block,0.3,0.8603531300160514,0.8843537414965986,0.0240006114805472,10.6582,38.28,0.657,2.0,0.557681679725647,,0.7867647058823529,0.8603531300160514
mrpc,AE,block,0.5,0.81875,0.8843537414965986,0.0656037414965986,7.194,56.714,0.973,2.0,0.591157853603363,,0.7156862745098039,0.81875
cola,KL-R,head,0.1,0.0,0.5288802917060816,0.5288802917060816,11.0407,94.469,1.54,2.0,,,,
cola,KL-R,head,0.3,0.0,0.5288802917060816,0.5288802917060816,11.0393,94.481,1.54,2.0,,,,
cola,KL-R,head,0.5,0.0,0.5288802917060816,0.5288802917060816,11.0377,94.494,1.54,2.0,,,,
cola,KL-R,block,0.1,0.5652516382961122,0.5288802917060816,-0.0363713465900306,10.0096,104.2,1.698,2.0,0.5530944466590881,0.5652516382961122,,
cola,KL-R,block,0.3,0.4829183493444952,0.5288802917060816,0.0459619423615864,8.2113,127.02,2.07,2.0,0.5782990455627441,0.4829183493444952,,
cola,KL-R,block,0.5,0.2613711527128651,0.5288802917060816,0.2675091389932165,5.5202,188.942,3.08,2.0,0.6152954697608948,0.2613711527128651,,
mrpc,KL-R,head,0.1,0.0,0.8843537414965986,0.8843537414965986,14.5022,28.134,0.483,2.0,,,,
mrpc,KL-R,head,0.3,0.0,0.8843537414965986,0.8843537414965986,14.4966,28.145,0.483,2.0,,,,
mrpc,KL-R,head,0.5,0.0,0.8843537414965986,0.8843537414965986,14.503,28.132,0.483,2.0,,,,
mrpc,KL-R,block,0.1,0.8970331588132635,0.8843537414965986,-0.0126794173166648,13.0065,31.369,0.538,2.0,0.3983234465122223,,0.8553921568627451,0.8970331588132635
mrpc,KL-R,block,0.3,0.8824531516183987,0.8843537414965986,0.0019005898781999,10.6619,38.267,0.657,2.0,0.4182873070240021,,0.8308823529411765,0.8824531516183987
mrpc,KL-R,block,0.5,0.8612903225806452,0.8843537414965986,0.0230634189159534,7.1398,57.144,0.98,2.0,0.4834243953227997,,0.7892156862745098,0.8612903225806452
